CountryName,Vaccine,MostReceivedTargetGroup
Austria,COM,Age25_49
Austria,MOD,Age25_49
Austria,AZ,Age25_49
Belgium,COM,Age25_49
Belgium,MOD,Age25_49
Belgium,COMBA.1,Age60_69
Bulgaria,COM,Age25_49
Bulgaria,JANSS,Age25_49
Bulgaria,MOD,Age25_49
Croatia,COM,Age25_49
Croatia,AZ,Age70_79
Croatia,MOD,Age25_49
Cyprus,COM,Age25_49
Cyprus,AZ,Age25_49
Cyprus,MOD,Age25_49
Czechia,COM,Age25_49
Czechia,MOD,Age25_49
Czechia,AZ,Age70_79
Denmark,COM,Age25_49
Denmark,MOD,Age25_49
Denmark,COMBA.4-5,Age50_59
Estonia,COM,Age25_49
Estonia,MOD,Age25_49
Estonia,AZ,Age60_69
Finland,COM,Age25_49
Finland,MOD,Age25_49
Finland,UNK,Age70_79
France,UNK,Age25_49
Germany,UNK,1_Age<60
Greece,COM,1_Age<60
Greece,MOD,1_Age<60
Greece,AZ,1_Age60+
Hungary,COM,Age25_49
Hungary,BECNBG,Age25_49
Hungary,SPU,Age25_49
Iceland,COM,Age25_49
Iceland,AZ,Age60_69
Iceland,MOD,Age25_49
Ireland,COM,Age25_49
Ireland,MOD,Age25_49
Ireland,AZ,Age60_69
Italy,COM,Age25_49
Italy,MOD,Age25_49
Italy,AZ,Age70_79
Latvia,COM,Age25_49
Latvia,MOD,Age25_49
Latvia,JANSS,Age25_49
Lithuania,COM,Age25_49
Lithuania,AZ,Age25_49
Lithuania,MOD,Age25_49
Luxembourg,COM,Age25_49
Luxembourg,MOD,Age25_49
Luxembourg,AZ,Age25_49
Malta,COM,Age25_49
Malta,MOD,Age25_49
Malta,AZ,Age25_49
Netherlands,COM,Age25_49
Netherlands,MOD,Age60_69
Netherlands,AZ,Age60_69
Norway,COM,Age25_49
Norway,MOD,Age25_49
Norway,AZ,HCW
Poland,COM,Age25_49
Poland,AZ,Age60_69
Poland,MOD,Age25_49
Portugal,COM,Age25_49
Portugal,MOD,Age25_49
Portugal,AZ,Age60_69
Romania,COM,1_Age<60
Romania,JANSS,1_Age<60
Romania,MOD,1_Age<60
Slovakia,COM,Age25_49
Slovakia,AZ,Age25_49
Slovakia,MOD,Age25_49
Slovenia,COM,Age25_49
Slovenia,AZ,Age25_49
Slovenia,MOD,Age70_79
Spain,COM,Age25_49
Spain,MOD,Age25_49
Spain,AZ,Age60_69
Sweden,COM,Age25_49
Sweden,MOD,Age25_49
Sweden,AZ,Age70_79
